fashionDesigner,designer_name
http://www.wikidata.org/entity/Q3037017,Dorian Ho
http://www.wikidata.org/entity/Q3038267,Dov Charney
http://www.wikidata.org/entity/Q3046931,Ece Ege
http://www.wikidata.org/entity/Q3050694,Elena Benarroch
http://www.wikidata.org/entity/Q3051197,Elizabeth Cass
http://www.wikidata.org/entity/Q3052313,Emilio Cavallini
http://www.wikidata.org/entity/Q3052959,Emmanuelle Khanh
http://www.wikidata.org/entity/Q3054480,Ennio Capasa
http://www.wikidata.org/entity/Q3065319,Jacques von Polier
http://www.wikidata.org/entity/Q3085169,François Lesage
http://www.wikidata.org/entity/Q3088769,Zuhair Murad
http://www.wikidata.org/entity/Q3094172,Gaby Aghion
http://www.wikidata.org/entity/Q3098804,Gaspard Yurkievich
http://www.wikidata.org/entity/Q3099903,Gaëlle Voiry
http://www.wikidata.org/entity/Q3103793,Georgina Chapman
http://www.wikidata.org/entity/Q3105126,Giambattista Valli
http://www.wikidata.org/entity/Q3106737,Sean Yseult
http://www.wikidata.org/entity/Q3108166,Giuseppe Zanotti
http://www.wikidata.org/entity/Q3119900,Guillaume Henry
http://www.wikidata.org/entity/Q3131365,Tomoe Shinohara
http://www.wikidata.org/entity/Q3147769,Ida Rosenthal
http://www.wikidata.org/entity/Q3154271,Irakli Nasidze
http://www.wikidata.org/entity/Q3154830,Isabel Toledo
http://www.wikidata.org/entity/Q3165030,Jean-Claude Jitrois
http://www.wikidata.org/entity/Q3166012,Jean-Gabriel Domergue
http://www.wikidata.org/entity/Q3168555,Jean-Paul Knott
