schoolLabel,locationSchoolLabel,countrySchoolLabel
Central Saint Martins,London,United Kingdom
Heathfield School,Ascot,United Kingdom
Queen's Gate School,London,United Kingdom
Central Saint Martins,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
London School of Economics and Political Science,London,United Kingdom
University of the Arts London,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Manchester Metropolitan University,Manchester,United Kingdom
Glasgow School of Art,Glasgow,United Kingdom
Central Saint Martins,London,United Kingdom
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
Konstfack,Midsommarkransen,Sweden
New College,Oxford,United Kingdom
Edinburgh Academy,Edinburgh,United Kingdom
Barnard Castle School,Barnard Castle,United Kingdom
University of Leeds,University of Leeds Campus,United Kingdom
Francis Holland School,London,United Kingdom
Mander Portman Woodward,Cambridge,United Kingdom
Marlborough College,Marlborough,United Kingdom
Kent Street Senior High School,Kensington,Australia
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
Central Saint Martins,London,United Kingdom
University of Belgrade,Belgrade,Serbia
Konstfack,Gärdet,Sweden
Konstfack,Stockholm,Sweden
Konstfack,Midsommarkransen,Sweden
Lagos State University,Epe,Nigeria
University of Westminster,London,United Kingdom
"Swanlea School, Business and Enterprise College",Whitechapel,United Kingdom
Rhode Island School of Design,Providence,United States
Queen Mary University of London,London,United Kingdom
Stephen Perse Foundation,Cambridge,United Kingdom
Central Saint Martins,London,United Kingdom
Fine Arts College,Belsize Park,United Kingdom
Northumbria University,Newcastle upon Tyne,United Kingdom
Central Saint Martins,London,United Kingdom
"University of California, Los Angeles",Los Angeles,United States
George Washington University,Foxhall,United States
George Washington University,Foggy Bottom,United States
University of California,Santa Barbara,United States
University of California,Oakland,United States
University of Nottingham,Nottingham,United Kingdom
Central Saint Martins,London,United Kingdom
